Serial Number,車位類別,車位價格,車位面積平方公尺,車位所在樓層
RPTNMLOJIIIGFBF77CC,坡道平面,3000,42.53,地下二樓
RPOOMLOJIIIGFBF37CC,坡道平面,3000,28.24,地下四樓
RPPNMLOJIIIGFCF47CC,坡道平面,2000,24.3,地下五樓含以下
RPVNMLOJIIIGFIF68CC,升降機械,830,,地下一樓
RPUNMLPJIIIGFBF97CC,坡道平面,4000,35.37,地下一樓
RPSNMLPJIIIGFBF77CC,坡道平面,3000,35.85,地下四樓
RPTOMLPJIIIGFGF48CC,坡道平面,0,39.65,地下四樓
RPSOMLPJIIIGFGF38CC,坡道平面,0,26.99,地下三樓
RPVNMLPJIIIGFHF68CC,坡道平面,0,39.7,地下二樓
RPQNMLPJIIIGFIF28CC,坡道平面,3000,33.92,地下一樓
RPROMLPJIIIGFIF48CC,坡道平面,0,24.81,地下一樓
RPXNMLPJIIIGFIF98CC,坡道平面,0,36.14,地下二樓
RPWNMLQJIIIGFBF28CC,坡道平面,3000,,地下二樓
RPUNMLQJIIIGFDF28CC,升降機械,0,24.31,地下四樓
RPUNMLQJIIIGFDF28CC,升降機械,0,24.31,地下四樓
RPQNMLQJIIIGFGF18CC,坡道平面,0,34.45,地下二樓
RPQNMLQJIIIGFGF18CC,坡道平面,0,34.45,地下二樓
RPTOMLQJIIIGFGF58CC,坡道平面,3500,29.74,地下四樓
RPVNMLQJIIIGFHF78CC,坡道平面,0,31.63,地下二樓
RPPNMLTJIIIGFBF87CC,坡道平面,0,,地下二樓
RPQOMLLKIIIGFBF37CC,坡道平面,3000,25.2,地下二樓
RPWNMLMKIIIGFBF97CC,坡道平面,0,21.5,地下一樓
RPTNMLMKIIIGFGF18CC,坡道平面,0,31.67,地下三樓
RPPNMLMKIIIGFDF47CC,坡道平面,0,48.03,地下一樓
RPTNMLMKIIIGFIF38CC,升降平面,0,29.75,地下二樓
RPOOMLNKIIIGFBF37CC,坡道平面,0,19.9,地下三樓
RPXNMLNKIIIGFBF18CC,坡道平面,0,32.43,地下三樓
RPPNMLNKIIIGFIF08CC,坡道平面,0,42.33,地下四樓
RPSNMLOKIIIGFHF38CC,坡道平面,0,26.37,地下四樓
RPPNMLOKIIIGFIF18CC,坡道機械,0,11.19,地下一樓
RPPNMLPKIIIGFBF57CC,坡道平面,0,33.06,地下一樓
RPPNMLPKIIIGFGF08CC,坡道平面,0,46.22,地下一樓
RPUNMLQKIIIGFBF18CC,坡道平面,3400,33.86,地下三樓
RPVOMLQKIIIGFCF48CC,坡道平面,5000,33.08,地下三樓
RPVNMLQKIIIGFDF48CC,坡道平面,0,,地下二樓
RPUNMLQKIIIGFHF78CC,坡道平面,0,35.94,地下四樓
RPOOMLRKIIIGFAF67CC,坡道平面,0,,地下一樓
RPXNMLRKIIIGFCF68CC,坡道機械,0,,地下五樓含以下
RPXNMLRKIIIGFCF68CC,坡道機械,0,,地下五樓含以下
RPXNMLRKIIIGFBF58CC,坡道平面,3000,28.81,地下二樓
RPXNMLRKIIIGFCF68CC,坡道機械,0,,地下五樓含以下
RPXNMLRKIIIGFCF68CC,坡道機械,0,,地下五樓含以下
RPXNMLRKIIIGFCF68CC,坡道機械,0,,地下五樓含以下
RPQPMLSKIIIGFAF08CC,坡道平面,0,22.06,地下四樓
RPQNMLSKIIIGFBF97CC,坡道平面,0,,地下一樓
RPOPMLSKIIIGFBF97CC,坡道平面,3000,33.86,地下四樓
RPPNMLSKIIIGFIF58CC,坡道平面,2000,34.23,地下二樓
RPWNMLTKIIIGFBF68CC,坡道平面,0,33.23,地下一樓
RPQNMLTKIIIGFIF78CC,坡道平面,400,28.09,地下二樓
RPQNMLKLIIIGFGF77CC,坡道平面,0,31.67,地下二樓
RPVNMLKLIIIGFGF28CC,坡道平面,0,31.67,地下二樓
RPRNMLPLIIIGFBF87CC,坡道平面,0,30.29,地下三樓
RPPNMLMLRHIGFAG18CC,坡道平面,0,,地下一樓
RPPNMLNLRHIGFAG28CC,坡道平面,0,,地下一樓
RPTNMLNLRHIGFAG68CC,一樓平面,0,,一樓
RPPNMLNLRHIGFBG38CC,坡道平面,0,,地下一樓
RPRNMLRLRHIGFAG88CC,坡道平面,0,,地下一樓
RPWNMLRLRHIGFAG76CC,坡道平面,0,,一樓
RPRNMLTKIIIGFBG28CC,一樓平面,0,,一樓
RPRNMLTKIIIGFBG28CC,一樓平面,0,,一樓
RPSNMLTKIIIGFAG28CC,一樓平面,0,,一樓
RPTNMLTKIIIGFAG38CC,升降機械,0,,地下二樓
RPPNMLLLRHIGFAH18CC,坡道平面,3000,34.69,地下二樓
RPXNMLLLRHIGFAH98CC,坡道平面,3000,37.69,地下三樓
RPSNMLLLRHIGFAH48CC,坡道平面,3000,31.45,地下一樓
RPROMLLLRHIGFAH48CC,坡道平面,2500,,地下二樓
RPWQMLLLRHIGFAH56CC,坡道平面,2400,41.17,地下二樓
RPRNMLLLRHIGFBH48CC,坡道平面,2500,,地下一樓
RPSNMLLLRHIGFBH58CC,坡道平面,3000,33.9,地下三樓
RPSNMLLLRHIGFBH58CC,坡道平面,3000,33.9,地下三樓
RPUNMLLLRHIGFBH78CC,坡道平面,2500,34.69,地下二樓
RPTOMLLLRHIGFBH78CC,坡道平面,2000,33.72,地下三樓
RPPPMLLLRHIGFBH48CC,坡道平面,2000,27.35,地下一樓
RPOPMLLLRHIGFBH38CC,坡道平面,2000,,地下一樓
RPPQMLLLRHIGFBH58CC,一樓平面,2000,,一樓
RPRQMLLLRHIGFBH78CC,坡道平面,3000,32.99,地下一樓
RPVQMLLLRHIGFBH56CC,坡道平面,2400,27.07,地下三樓
RPUQMLLLRHIGFBH09CC,坡道平面,1400,,地下一樓
RPSRMLLLRHIGFBH98CC,坡道平面,2800,30.23,地下二樓
RPWRMLLLRHIGFBH76CC,坡道平面,3000,,地下一樓
RPRSMLLLRHIGFBH98CC,坡道平面,3000,31.73,地下二樓
RPVSMLLLRHIGFBH76CC,坡道平面,3000,31.73,地下一樓
RPXSMLLLRHIGFBH96CC,坡道平面,1000,29.77,地下一樓
RPQTMLLLRHIGFBH98CC,坡道平面,3000,25.71,地下三樓
RPWNMLTLQHIGFBH07CC,坡道平面,2000,26.45,地下一樓
RPOOMLLLRHIGFCH38CC,坡道平面,2000,,地下一樓
RPWNMLLLRHIGFCH09CC,坡道平面,0,37.2,地下二樓
RPUNMLLLRHIGFDH98CC,坡道平面,2300,36.38,地下三樓
RPQOMLLLRHIGFCH58CC,坡道平面,2000,,地下三樓
RPPOMLLLRHIGFCH48CC,坡道平面,2500,,地下一樓
RPVNMLLLRHIGFEH56CC,坡道平面,3000,29.71,地下二樓
RPTNMLLLRHIGFEH98CC,坡道平面,1500,,地下一樓
RPWOMLLLRHIGFEH76CC,坡道平面,2000,,地下一樓
RPORMLLLRHIGFEH88CC,坡道平面,3000,19.98,地下二樓
RPXQMLLLRHIGFEH07CC,坡道平面,3000,24.41,地下三樓
RPPNMLLLRHIGFFH68CC,坡道平面,1000,27.94,地下二樓
RPTNMLLLRHIGFFH09CC,坡道平面,3000,25.78,地下一樓
RPUNMLLLRHIGFFH56CC,坡道平面,2000,40.1,地下一樓
RPWNMLLLRHIGFFH76CC,坡道平面,1800,23.77,地下一樓
RPOOMLLLRHIGFFH68CC,坡道平面,2000,40.1,地下一樓
RPROMLLLRHIGFFH98CC,坡道平面,1200,31.19,地下三樓
RPVOMLLLRHIGFFH76CC,坡道平面,2000,,地下二樓
RPSOMLLLRHIGFFH09CC,坡道平面,2500,,地下一樓
RPUOMLLLRHIGFFH66CC,坡道平面,3000,35.49,地下一樓
RPXOMLLLRHIGFFH96CC,坡道平面,500,,地下一樓
RPQPMLLLRHIGFFH98CC,坡道平面,2000,35.49,地下一樓
RPPPMLLLRHIGFFH88CC,坡道平面,2500,25.89,地下一樓
RPUPMLLLRHIGFFH76CC,坡道平面,3000,24.76,地下二樓
RPQOMLLLRHIGFGH98CC,坡道平面,2500,35.64,地下一樓
RPQOMLNJIIHGFHH18CC,坡道平面,0,29.4,地下三樓
RPPOMLNJIIHGFHH08CC,坡道平面,0,33.21,地下三樓
RPPNMLSJMHIGFHH88CC,坡道平面,0,33.21,地下四樓
RPQNMLMJLHIGFHH28CC,坡道平面,0,29.13,地下四樓
RPOOMLLLRHIGFHH88CC,坡道平面,3000,26.11,地下二樓
RPWNMLLLRHIGFHH96CC,坡道平面,2500,42.34,地下一樓
RPPOMLLLRHIGFHH98CC,坡道平面,0,,地下一樓
RPSNMLMLRHIGFAH58CC,升降機械,3000,,地下三樓
RPUQMLKMQHIGFAH88CC,坡道平面,1500,,地下一樓
RPPNMLLLRHIGFAH28DC,坡道平面,0,36.03,地下二樓
RPWQMLKMQHIGFAH09CC,坡道平面,2500,,地下一樓
RPTNMLMLRHIGFAH68CC,坡道平面,2500,28.76,地下一樓
RPXNMLMLRHIGFAH09CC,坡道平面,2000,34.58,地下三樓
RPQOMLMLRHIGFAH48CC,坡道平面,2000,31.82,地下二樓
RPVOMLMLRHIGFAH98CC,坡道平面,2500,28.05,地下二樓
RPSPMLMLRHIGFAH78CC,坡道平面,3000,32.26,地下一樓
RPXPMLMLRHIGFAH66CC,坡道平面,0,33.87,地下一樓
RPSQMLMLRHIGFAH88CC,坡道平面,3000,,地下二樓
RPTRMLMLRHIGFAH09CC,坡道機械,0,10.49,地下二樓
RPVRMLMLRHIGFAH66CC,坡道平面,0,29.26,地下一樓
RPSSMLMLRHIGFAH09CC,坡道平面,3000,,地下一樓
RPWTMLMLRHIGFAH96CC,坡道機械,3000,13.21,地下一樓
RPPUMLMLRHIGFAH98CC,坡道平面,2500,,地下二樓
RPQUMLMLRHIGFAH09CC,坡道平面,2000,,地下四樓
RPWUMLMLRHIGFAH07CC,坡道平面,2600,,地下一樓
RPQNMLMLRHIGFBH48CC,坡道平面,3000,31.06,地下二樓
RPWNMLMLRHIGFBH09CC,坡道平面,3000,,地下三樓
RPXNMLMLRHIGFBH56CC,一樓平面,0,,一樓
RPUOMLMLRHIGFBH98CC,坡道平面,1200,34.1,地下一樓
RPSOMLMLRHIGFBH78CC,坡道平面,2000,,地下一樓
RPVOMLMLRHIGFBH09CC,坡道平面,2000,36.6,地下一樓
RPWOMLMLRHIGFBH56CC,坡道平面,2000,37.65,地下一樓
RPXOMLMLRHIGFBH66CC,一樓平面,2500,23.41,一樓
RPTQMLMLRHIGFBH09CC,坡道平面,1000,,地下一樓
RPVQMLMLRHIGFBH66CC,坡道平面,1000,,地下一樓
RPQRMLMLRHIGFBH88CC,坡道平面,2000,24.12,地下三樓
RPRRMLMLRHIGFBH98CC,坡道機械,2000,,地下二樓
RPTSMLMLRHIGFBH66CC,一樓平面,3000,,一樓
RPXSMLMLRHIGFBH07CC,坡道平面,3500,,地下二樓
RPOTMLMLRHIGFBH88CC,坡道平面,3000,37.69,地下二樓
RPTNMLMLRHIGFCH88CC,坡道平面,2010,26.45,地下三樓
RPRNMLMLRHIGFDH78CC,坡道平面,1300,28.91,地下二樓
RPRRMLTLQHIGFAH86CC,坡道平面,0,47.26,地下一樓
RPVNMLMLRHIGFEH66CC,坡道平面,1000,,地下二樓
RPRPMLMLRHIGFEH09CC,坡道平面,2500,,地下一樓
RPSPMLMLRHIGFEH56CC,坡道平面,3000,14.74,地下一樓
RPRNMLMLRHIGFFH98CC,坡道平面,2500,38.47,地下三樓
RPXNMLMLRHIGFFH96CC,坡道平面,3000,32.01,地下一樓
RPOOMLMLRHIGFFH78CC,坡道平面,2500,25.89,地下一樓
RPROMLMLRHIGFFH09CC,坡道平面,3000,32.75,地下一樓
RPTNMLMLRHIGFGH66CC,坡道平面,2000,27.96,地下一樓
RPQOMLMLRHIGFGH09CC,坡道平面,3000,13.76,地下一樓
RPQNMLNLQHIGFFH88CC,坡道平面,0,,地下二樓
RPOPMLMLRHIGFGH98CC,坡道平面,2500,31.43,地下一樓
RPPPMLMLRHIGFGH09CC,坡道平面,1000,,地下三樓
RPTNMLMLRHIGFHH76CC,坡道平面,1300,29.14,地下四樓
RPSNMLMLRHIGFHH66CC,坡道平面,2500,23.76,地下三樓
RPRNMLNLRHIGFAH58CC,坡道平面,2000,21.43,地下二樓
RPUNMLNLRHIGFAH88CC,坡道平面,2500,,地下一樓
RPVNMLNLRHIGFAH98CC,坡道平面,0,,地下二樓
RPWNMLNLRHIGFAH09CC,坡道平面,2500,,地下二樓
RPTOMLNLRHIGFAH88CC,坡道平面,2000,,地下一樓
RPUQMLNLRHIGFAH56CC,坡道平面,0,23.49,地下三樓
RPUNMLNLRHIGFBH98CC,坡道平面,2200,,地下二樓
RPWOMLNLRHIGFBH66CC,坡道平面,2000,28.28,地下三樓
RPVPMLNLRHIGFBH66CC,坡道平面,2000,43.65,地下三樓
RPWPMLNLRHIGFBH76CC,坡道平面,0,26.45,地下一樓
RPTQMLNLRHIGFBH56CC,坡道平面,2500,22.24,地下二樓
RPXQMLNLRHIGFBH96CC,坡道平面,2000,28.42,地下三樓
RPTNMLNLRHIGFCH98CC,坡道平面,0,50.99,地下二樓
RPPNMLNLRHIGFDH68CC,坡道平面,2500,29.34,地下二樓
RPUNMLNLRHIGFCH09CC,坡道平面,0,,地下一樓
RPRNMLNLRHIGFDH88CC,坡道平面,3000,,地下一樓
RPWNMLNLRHIGFDH76CC,坡道平面,2500,31.74,地下三樓
RPQNMLNLRHIGFEH88CC,坡道平面,1250,27.99,地下二樓
RPQNMLNLRHIGFEH88CC,坡道平面,1250,27.99,地下二樓
RPSNMLNLRHIGFEH09CC,坡道機械,1000,16.55,地下一樓
RPQNMLNLRHIGFFH98CC,坡道平面,3000,34.77,地下二樓
RPRNMLNLRHIGFFH09CC,坡道機械,1500,13.97,地下一樓
RPRNMLNLRHIGFFH09CC,坡道機械,1500,13.97,地下一樓
RPTNMLNLRHIGFFH66CC,坡道平面,2500,29.37,地下一樓
RPTNMLNLRHIGFFH66CC,坡道平面,2500,29.37,地下一樓
RPVNMLNLRHIGFFH86CC,坡道平面,2000,38.87,地下三樓
RPRNMLMLQHIGFGH98CC,坡道平面,0,31.43,地下一樓
RPPNMLNLRHIGFGH98CC,坡道平面,2500,38.69,地下二樓
RPPNMLMLRHIGFHH09DC,坡道平面,0,,地下一樓
RPPNMLMLRHIGFHH09DC,坡道平面,0,,地下一樓
RPQNMLNLRHIGFGH09CC,坡道平面,3000,34.66,地下二樓
RPUNMLNLRHIGFGH86CC,坡道平面,3000,31.43,地下二樓
RPVNMLNLRHIGFGH96CC,坡道平面,1000,31.29,地下二樓
RPTNMLNLRHIGFGH76CC,坡道平面,2000,33.69,地下三樓
RPXNMLNLRHIGFGH17CC,坡道平面,2000,38.94,地下一樓
RPPOMLNLRHIGFGH09CC,坡道平面,3000,22.61,地下三樓
RPTOMLNLRHIGFGH86CC,坡道平面,2000,37.48,地下三樓
RPSOMLNLRHIGFGH76CC,坡道平面,0,33.69,地下一樓
RPROMLNLRHIGFGH66CC,坡道平面,1000,31.29,地下一樓
RPTNMLNLRHIGFHH86CC,升降平面,2500,26.8,地下二樓
RPXNMLNLRHIGFHH27CC,坡道平面,0,25.69,地下二樓
RPWNMLNLRHIGFHH17CC,坡道平面,2500,28.75,地下四樓
RPQOMLNLRHIGFHH66CC,坡道平面,1500,26.8,地下二樓
RPROMLNLRHIGFHH76CC,坡道機械,2000,,地下三樓
RPTOMLNLRHIGFHH96CC,坡道平面,3000,32.44,地下二樓
RPVNMLPLRHIGFAH56CC,坡道平面,3000,33.78,地下二樓
RPQOMLPLRHIGFAH78CC,坡道平面,0,25.6,地下二樓
RPOPMLPLRHIGFAH68CC,坡道平面,0,3.21,地下三樓
RPVPMLPLRHIGFAH76CC,坡道平面,2000,,地下二樓
RPVQMLPLRHIGFAH86CC,坡道平面,2700,30.96,地下一樓
RPORMLPLRHIGFAH88CC,坡道平面,0,,地下三樓
RPPRMLPLRHIGFAH98CC,坡道平面,2500,,地下三樓
RPWNMLPLRHIGFBH76CC,坡道平面,0,,地下二樓
RPSNMLPLRHIGFBH98CC,坡道平面,3000,35.71,地下二樓
RPTOMLPLRHIGFBH56CC,坡道平面,0,24.93,地下二樓
RPQPMLPLRHIGFBH98CC,坡道機械,2000,18.61,地下二樓
RPRPMLPLRHIGFBH09CC,坡道平面,2500,27.06,地下三樓
RPQNMLMLRHIGFHH56DC,坡道平面,0,,地下一樓
RPQNMLMLRHIGFHH56DC,坡道平面,0,,地下一樓
RPTPMLPLRHIGFBH66CC,坡道平面,0,36.79,地下三樓
RPOQMLPLRHIGFBH88CC,坡道平面,3000,30.77,地下一樓
RPUQMLPLRHIGFBH86CC,坡道機械,2000,22.35,地下三樓
RPPNMLPLRHIGFCH78CC,坡道平面,3500,,地下一樓
RPPOMLPLRHIGFCH88CC,坡道平面,0,,地下一樓
RPPNMLPLRHIGFDH88CC,坡道平面,1600,29.13,地下二樓
RPSNMLPLRHIGFDH56CC,坡道平面,2500,29.34,地下二樓
RPSNMLPLRHIGFEH66CC,坡道平面,0,26.44,地下一樓
RPTNMLPLRHIGFEH76CC,坡道平面,0,36.04,地下一樓
RPOOMLPLRHIGFEH98CC,坡道平面,0,,地下一樓
RPWNMLNLQHIGFFH86CC,坡道平面,200,27.55,地下二樓
RPRNMLPLRHIGFFH66CC,坡道平面,3500,26.93,地下一樓
RPTNMLPLRHIGFFH86CC,坡道平面,1000,29.48,地下二樓
RPSNMLPLRHIGFFH76CC,坡道平面,2200,31.19,地下三樓
RPPNMLPLRHIGFGH56CC,坡道平面,1500,28.93,地下二樓
RPQOMLPLRHIGFFH66CC,坡道平面,2000,22.49,地下三樓
RPUNMLPLRHIGFGH07CC,坡道平面,2000,34.66,地下二樓
RPPNMLPLRHIGFHH66CC,坡道平面,2500,25.69,地下一樓
RPXNMLPLRHIGFGH37CC,坡道平面,3000,26.74,地下一樓
RPQNMLPLRHIGFHH76CC,坡道平面,0,33.61,地下二樓
RPXNMLPLRHIGFHH47CC,坡道平面,0,,地下一樓
RPXNMLQLRHIGFAH86CC,坡道平面,0,,地下一樓
RPPPMLQLRHIGFAH88CC,坡道平面,3000,,地下一樓
RPRQMLQLRHIGFAH56CC,坡道平面,2648,32.84,地下二樓
RPSQMLQLRHIGFAH66CC,坡道平面,0,,地下二樓
RPQNMLQLRHIGFBH88CC,坡道平面,2000,27.85,地下二樓
RPOOMLQLRHIGFBH78CC,坡道平面,0,,地下二樓
RPRNMLSKPHIGFHH86CC,坡道平面,0,23.93,地下一樓
RPRNMLSKPHIGFHH86CC,坡道平面,0,23.93,地下一樓
RPROMLQLRHIGFBH09CC,坡道平面,0,28.51,地下三樓
RPRPMLQLRHIGFBH56CC,坡道平面,2500,27.85,地下二樓
RPQQMLQLRHIGFBH56CC,坡道平面,0,38.62,地下二樓
RPQQMLQLRHIGFBH56CC,坡道平面,0,38.62,地下二樓
RPRRMLQLRHIGFBH76CC,坡道平面,2500,43.01,地下二樓
RPQRMLQLRHIGFBH66CC,坡道平面,2000,33.32,地下二樓
RPPNMLQLRHIGFCH88CC,坡道平面,2500,30.2,地下二樓
RPRNMLQLRHIGFEH66CC,坡道平面,1500,29.18,地下一樓
RPSNMLQLRHIGFDH66CC,坡道平面,2000,,地下二樓
RPSNMLQLRHIGFEH76CC,坡道平面,0,,地下三樓
RPTNMLQLRHIGFEH86CC,坡道平面,0,,地下一樓
RPXNMLQLRHIGFFH37CC,坡道平面,0,31.32,地下二樓
RPVNMLQLRHIGFFH17CC,坡道平面,0,25.89,地下二樓
RPRNMLQLRHIGFGH86CC,坡道平面,1500,28.92,地下一樓
RPWNMLQLRHIGFGH37CC,坡道平面,1000,39.71,地下三樓
RPPOMLQLRHIGFGH76CC,坡道平面,1000,26.45,地下一樓
RPSOMLQLRHIGFGH07CC,坡道平面,0,,地下三樓
RPTOMLQLRHIGFGH17CC,坡道平面,3000,41.85,地下三樓
RPOOMLQLRHIGFHH76CC,坡道機械,2500,13.23,地下三樓
RPPNMLRLRHIGFAH78CC,坡道平面,0,,地下一樓
RPSNMLRLRHIGFAH09CC,坡道平面,3000,,地下二樓
RPRPMLRLRHIGFAH56CC,坡道平面,0,,地下二樓
RPUPMLRLRHIGFAH86CC,坡道平面,3000,,地下三樓
RPSOMLRLRHIGFBH66CC,坡道平面,2000,31.07,地下五樓含以下
RPPPMLRLRHIGFBH09CC,坡道平面,0,,地下三樓
RPQPMLRLRHIGFBH56CC,坡道平面,0,,地下二樓
RPWPMLRLRHIGFBH17CC,坡道平面,0,26.44,地下一樓
RPPQMLRLRHIGFBH56CC,坡道平面,2000,26.44,地下二樓
RPSQMLRLRHIGFBH86CC,坡道平面,2000,30.83,地下三樓
RPQNMLRLRHIGFCH09CC,坡道平面,0,37.2,地下一樓
RPPNMLRLRHIGFDH09CC,坡道平面,3000,,地下二樓
RPUNMLRLRHIGFDH96CC,坡道平面,500,25.67,地下三樓
RPTOMLRLRHIGFEH07CC,坡道平面,1000,,地下一樓
RPSOMLRLRHIGFEH96CC,坡道平面,0,32.87,地下一樓
RPQNMLRLRHIGFFH76CC,坡道平面,0,34.65,地下二樓
RPPOMLRLRHIGFFH76CC,坡道平面,2000,26.22,地下一樓
RPSNMLRLRHIGFHH17CC,坡道平面,2500,33.03,地下二樓
RPWNMLRLRHIGFHH57CC,坡道平面,0,,地下三樓
RPPNMLSLRHIGFAH88CC,坡道平面,2500,26.57,地下二樓
RPRNMLSLRHIGFAH09CC,坡道平面,0,,地下一樓
RPVNMLSLRHIGFAH86CC,坡道機械,3000,,地下一樓
RPOOMLSLRHIGFAH88CC,坡道平面,3000,26.57,地下四樓
RPPNMLSLRHIGFBH98CC,坡道平面,2500,,地下一樓
RPRNMLSLRHIGFBH56CC,坡道平面,0,27.82,地下二樓
RPRNMLSLRHIGFBH56CC,坡道平面,0,27.82,地下二樓
RPSNMLSLRHIGFDH86CC,坡道平面,1500,25.67,地下二樓
RPUNMLSLRHIGFDH07CC,坡道機械,500,13.22,地下一樓
RPVNMLSLRHIGFDH17CC,坡道平面,1000,28.17,地下一樓
RPXNMLSLRHIGFEH47CC,坡道平面,3000,34.72,地下三樓
RPRNMLSLRHIGFFH96CC,坡道平面,1000,,地下一樓
RPQNMLSLRHIGFFH86CC,坡道平面,3000,,地下二樓
RPTNMLSLRHIGFFH17CC,坡道平面,3000,25.14,地下二樓
RPVNMLSLRHIGFGH47CC,坡道平面,2600,,地下二樓
RPPNMLSLRHIGFHH96CC,坡道平面,0,33.07,地下一樓
RPUNMLSLRHIGFHH47CC,坡道平面,0,27.45,地下三樓
RPPNMLTLRHIGFAH98CC,坡道平面,0,,地下二樓
RPPNMLTLRHIGFGH96CC,坡道平面,1000,31.29,地下一樓
RPPNMLLJIIIGFBH27CC,坡道平面,1900,27.03,地下二樓
RPSNMLMJIIIGFAH57CC,坡道平面,2500,26.44,地下一樓
RPQNMLMJIIIGFAH37CC,坡道平面,0,26.45,地下二樓
RPVNMLMJIIIGFAH87CC,坡道平面,0,,地下一樓
RPWNMLMJIIIGFAH97CC,坡道平面,3000,9.16,地下一樓
RPOOMLMJIIIGFAH27CC,坡道平面,2500,,地下一樓
RPSOMLMJIIIGFBH77CC,坡道平面,3000,27.36,地下一樓
RPQQMLMJIIIGFBH77CC,坡道平面,4250,32.42,地下二樓
RPQNMLMJIIIGFEH77CC,坡道平面,2800,,地下二樓
RPPNMLMJIIIGFDH57CC,坡道平面,0,26.45,地下二樓
RPSNMLMJIIIGFGH18CC,坡道平面,2500,22.15,地下一樓
RPOOMLMJIIIGFGH87CC,坡道平面,1000,,地下三樓
RPWNMLMJIIIGFHH68CC,坡道平面,0,31.73,地下一樓
RPVOMLNJIIIGFAH08CC,坡道機械,0,,地下一樓
RPOPMLNJIIIGFAH47CC,坡道平面,0,,地下二樓
RPUNMLNJIIIGFBH97CC,坡道平面,0,18.68,地下二樓
RPQNMLNJIIIGFGH08CC,坡道平面,2500,33.69,地下三樓
RPPNMLOJIIIGFAH47CC,坡道平面,2700,,地下三樓
RPPPMLOJIIIGFAH67CC,坡道平面,3000,,地下三樓
RPPQMLOJIIIGFAH77CC,坡道平面,3500,11.55,地下一樓
RPQNMLOJIIIGFBH67CC,坡道平面,1500,,地下一樓
RPROMLOJIIIGFBH87CC,坡道平面,0,25.85,地下二樓
RPPOMLOJIIIGFBH67CC,坡道平面,2000,34.28,地下一樓
RPOOMLOJIIIGFCH67CC,坡道平面,1200,26.44,地下一樓
RPPOMLOJIIIGFCH77CC,坡道平面,1000,36.46,地下一樓
RPOOMLOJIIIGFDH77CC,坡道平面,0,37.18,地下一樓
RPTOMLOJIIIGFEH38CC,坡道平面,2000,34.76,地下二樓
RPPNMLOJIIIGFGH08CC,坡道平面,1000,,地下二樓
RPXNMLOJIIIGFGH88CC,坡道平面,2500,31.29,地下一樓
RPTNMLOJIIIGFHH58CC,坡道平面,2750,28.88,地下四樓
RPOOMLOJIIIGFHH18CC,坡道平面,0,53.98,地下二樓
RPQPMLOJIIIGFHH48CC,坡道平面,3000,33.75,地下一樓
RPOPMLPJIIIGFAH67CC,坡道平面,2500,37.06,地下一樓
RPXPMLPJIIIGFBH68CC,坡道平面,0,37.52,地下三樓
RPSQMLPJIIIGFBH28CC,坡道平面,0,31.07,地下四樓
RPQQMLPJIIIGFBH08CC,坡道平面,0,24.36,地下一樓
RPSNMLPJIIIGFCH08CC,坡道平面,0,36.46,地下二樓
RPSNMLPJIIIGFEH28CC,坡道平面,0,27.72,地下一樓
RPUNMLPJIIIGFEH48CC,坡道平面,1000,28.08,地下一樓
RPTNMLPJIIIGFEH38CC,坡道平面,0,30.8,地下一樓
RPRNMLPJIIIGFHH48CC,坡道平面,1500,37.58,地下二樓
RPWOMLQJIIIGFAH48CC,坡道平面,1000,,地下一樓
RPVNMLQJIIIGFAH28CC,坡道機械,2000,,地下一樓
RPVNMLPJIIIGFHH88CC,坡道平面,3000,,地下一樓
RPSOMLQJIIIGFBH18CC,坡道平面,2000,,地下三樓
RPVOMLQJIIIGFBH48CC,坡道平面,1000,,地下一樓
RPQNMLQJIIIGFEH18CC,坡道平面,0,1.0,地下一樓
RPWNMLQJIIIGFGH98CC,坡道平面,2000,,地下一樓
RPSNMLQJIIIGFHH68CC,坡道平面,0,25.84,地下一樓
RPPNMLQJIIIGFBH87DC,坡道平面,0,,地下三樓
RPPNMLQJIIIGFBH87DC,坡道平面,0,,地下三樓
RPQNMLSJIIIGFBH08CC,坡道平面,2000,23.18,地下一樓
RPTNMLKKIIIGFCH77CC,坡道平面,0,42.72,地下二樓
RPVQMLLKIIIGFAH18CC,坡道平面,0,,地下二樓
RPORMLLKIIIGFAH57CC,坡道平面,3000,26.47,地下一樓
RPPRMLLKIIIGFAH67CC,坡道平面,1000,47.25,地下一樓
RPRNMLLKIIIGFBH57CC,坡道平面,0,43.66,地下二樓
RPOOMLLKIIIGFBH37CC,坡道平面,3000,41.13,地下二樓
RPRPMLLKIIIGFBH77CC,坡道平面,2000,,地下三樓
RPSPMLLKIIIGFBH87CC,坡道平面,3000,30.99,地下二樓
RPPQMLLKIIIGFBH67CC,一樓平面,2000,,一樓
RPOQMLLKIIIGFBH57CC,坡道平面,1500,,地下一樓
RPOOMLLKIIIGFCH47CC,坡道平面,1000,,地下一樓
RPVNMLLKIIIGFEH28CC,坡道平面,2000,,地下三樓
RPOOMLLKIIIGFEH67CC,坡道平面,0,30.8,地下二樓
RPXNMLLKIIIGFGH68CC,坡道平面,1000,,地下一樓
RPOOMLLKIIIGFGH87CC,坡道平面,1000,24.67,地下一樓
RPSOMLLKIIIGFHH38CC,坡道平面,2500,33.12,地下一樓
RPTOMLLKIIIGFHH48CC,坡道平面,2000,,地下一樓
RPUOMLLKIIIGFHH58CC,坡道機械,1500,22.48,地下四樓
